item,construct,construct_kr,facet,reverse_scored,second_order
SC_SK_01,SC,자기자비,SK,0,1
SC_SK_02,SC,자기자비,SK,0,1
SC_SK_03,SC,자기자비,SK,0,1
SC_SK_04,SC,자기자비,SK,0,1
SC_SJ_01R,SC,자기자비,SJ,1,1
SC_SJ_02R,SC,자기자비,SJ,1,1
SC_SJ_03R,SC,자기자비,SJ,1,1
SC_SJ_04R,SC,자기자비,SJ,1,1
SC_CH_01,SC,자기자비,CH,0,1
SC_CH_02,SC,자기자비,CH,0,1
SC_CH_03,SC,자기자비,CH,0,1
SC_CH_04,SC,자기자비,CH,0,1
SC_IS_01R,SC,자기자비,IS,1,1
SC_IS_02R,SC,자기자비,IS,1,1
SC_IS_03R,SC,자기자비,IS,1,1
SC_IS_04R,SC,자기자비,IS,1,1
SC_MI_01,SC,자기자비,MI,0,1
SC_MI_02,SC,자기자비,MI,0,1
SC_MI_03,SC,자기자비,MI,0,1
SC_MI_04,SC,자기자비,MI,0,1
SC_OI_01R,SC,자기자비,OI,1,1
SC_OI_02R,SC,자기자비,OI,1,1
SC_OI_03R,SC,자기자비,OI,1,1
SC_OI_04R,SC,자기자비,OI,1,1
PC_EF_01,PC,긍정심리자본,EF,0,1
PC_EF_02,PC,긍정심리자본,EF,0,1
PC_EF_03,PC,긍정심리자본,EF,0,1
PC_EF_04,PC,긍정심리자본,EF,0,1
PC_EF_05,PC,긍정심리자본,EF,0,1
PC_HO_01,PC,긍정심리자본,HO,0,1
PC_HO_02,PC,긍정심리자본,HO,0,1
PC_HO_03,PC,긍정심리자본,HO,0,1
PC_HO_04,PC,긍정심리자본,HO,0,1
PC_HO_05,PC,긍정심리자본,HO,0,1
PC_RE_01,PC,긍정심리자본,RE,0,1
PC_RE_02,PC,긍정심리자본,RE,0,1
PC_RE_03,PC,긍정심리자본,RE,0,1
PC_RE_04,PC,긍정심리자본,RE,0,1
PC_RE_05R,PC,긍정심리자본,RE,1,1
PC_OP_01,PC,긍정심리자본,OP,0,1
PC_OP_02,PC,긍정심리자본,OP,0,1
PC_OP_03,PC,긍정심리자본,OP,0,1
PC_OP_04,PC,긍정심리자본,OP,0,1
PC_OP_05,PC,긍정심리자본,OP,0,1
CM_CE_01,CM,경력관리행동,CE,0,1
CM_CE_02,CM,경력관리행동,CE,0,1
CM_CE_03,CM,경력관리행동,CE,0,1
CM_CE_04,CM,경력관리행동,CE,0,1
CM_NW_01,CM,경력관리행동,NW,0,1
CM_NW_02,CM,경력관리행동,NW,0,1
CM_NW_03,CM,경력관리행동,NW,0,1
CM_NW_04,CM,경력관리행동,NW,0,1
CM_SP_01,CM,경력관리행동,SP,0,1
CM_SP_02,CM,경력관리행동,SP,0,1
CM_SP_03,CM,경력관리행동,SP,0,1
CM_SP_04,CM,경력관리행동,SP,0,1
CM_MB_01,CM,경력관리행동,MB,0,1
CM_MB_02,CM,경력관리행동,MB,0,1
CM_MB_03,CM,경력관리행동,MB,0,1
CM_MB_04,CM,경력관리행동,MB,0,1
WE_VI_01,WE,직무열의,VI,0,1
WE_VI_02,WE,직무열의,VI,0,1
WE_VI_03,WE,직무열의,VI,0,1
WE_VI_04,WE,직무열의,VI,0,1
WE_DE_01,WE,직무열의,DE,0,1
WE_DE_02,WE,직무열의,DE,0,1
WE_DE_03,WE,직무열의,DE,0,1
WE_DE_04,WE,직무열의,DE,0,1
WE_AB_01,WE,직무열의,AB,0,1
WE_AB_02,WE,직무열의,AB,0,1
WE_AB_03,WE,직무열의,AB,0,1
WE_AB_04,WE,직무열의,AB,0,1
PA_PA_01,PA,주도적성격,PA,0,0
PA_PA_02,PA,주도적성격,PA,0,0
PA_PA_03,PA,주도적성격,PA,0,0
PA_PA_04,PA,주도적성격,PA,0,0
PA_PA_05,PA,주도적성격,PA,0,0
PA_PA_06R,PA,주도적성격,PA,1,0
PA_PA_07,PA,주도적성격,PA,0,0
PA_PA_08,PA,주도적성격,PA,0,0
LS_LS_01,LS,학습지원문화,LS,0,0
LS_LS_02,LS,학습지원문화,LS,0,0
LS_LS_03,LS,학습지원문화,LS,0,0
LS_LS_04,LS,학습지원문화,LS,0,0
LS_LS_05,LS,학습지원문화,LS,0,0
TI_TI_01,TI,이직의도,TI,0,0
TI_TI_02,TI,이직의도,TI,0,0
TI_TI_03,TI,이직의도,TI,0,0
JP_JP_01,JP,직무성과,JP,0,0
JP_JP_02,JP,직무성과,JP,0,0
JP_JP_03,JP,직무성과,JP,0,0
JP_JP_04,JP,직무성과,JP,0,0
EX_EX_01,EX,정서적소진,EX,0,0
EX_EX_02,EX,정서적소진,EX,0,0
EX_EX_03,EX,정서적소진,EX,0,0
EX_EX_04,EX,정서적소진,EX,0,0
