rid,org_id,flag,flag_reason,resp_sec,sex,age,edu,marital,tenure_yr,career_yr,n_prev_job,n_try_move,rank,firm_size,emp_type,job_fn,wage_10k,org_size,org_industry,SC_SK_01,SC_SK_02,SC_SK_03,SC_SK_04,SC_SJ_01R,SC_SJ_02R,SC_SJ_03R,SC_SJ_04R,SC_CH_01,SC_CH_02,SC_CH_03,SC_CH_04,SC_IS_01R,SC_IS_02R,SC_IS_03R,SC_IS_04R,SC_MI_01,SC_MI_02,SC_MI_03,SC_MI_04,SC_OI_01R,SC_OI_02R,SC_OI_03R,SC_OI_04R,PC_EF_01,PC_EF_02,PC_EF_03,PC_EF_04,PC_EF_05,PC_HO_01,PC_HO_02,PC_HO_03,PC_HO_04,PC_HO_05,PC_RE_01,PC_RE_02,PC_RE_03,PC_RE_04,PC_RE_05R,PC_OP_01,PC_OP_02,PC_OP_03,PC_OP_04,PC_OP_05,CM_CE_01,CM_CE_02,CM_CE_03,CM_CE_04,CM_NW_01,CM_NW_02,CM_NW_03,CM_NW_04,CM_SP_01,CM_SP_02,CM_SP_03,CM_SP_04,CM_MB_01,CM_MB_02,CM_MB_03,CM_MB_04,WE_VI_01,WE_VI_02,WE_VI_03,WE_VI_04,WE_DE_01,WE_DE_02,WE_DE_03,WE_DE_04,WE_AB_01,WE_AB_02,WE_AB_03,WE_AB_04,PA_PA_01,PA_PA_02,PA_PA_03,PA_PA_04,PA_PA_05,PA_PA_06R,PA_PA_07,PA_PA_08,LS_LS_01,LS_LS_02,LS_LS_03,LS_LS_04,LS_LS_05,TI_TI_01,TI_TI_02,TI_TI_03,JP_JP_01,JP_JP_02,JP_JP_03,JP_JP_04,EX_EX_01,EX_EX_02,EX_EX_03,EX_EX_04,W1_SC_p1,W1_SC_p2,W1_SC_p3,W1_WE_p1,W1_WE_p2,W1_WE_p3,W1_TI_p1,W1_TI_p2,W1_TI_p3,W2_SC_p1,W2_SC_p2,W2_SC_p3,W2_WE_p1,W2_WE_p2,W2_WE_p3,W2_TI_p1,W2_TI_p2,W2_TI_p3,W3_SC_p1,W3_SC_p2,W3_SC_p3,W3_WE_p1,W3_WE_p2,W3_WE_p3,W3_TI_p1,W3_TI_p2,W3_TI_p3,left_12m,time_months,event,SK_m,SJ_m,CH_m,IS_m,MI_m,OI_m,SC_TOT,EF_m,HO_m,RE_m,OP_m,PC_TOT,CE_m,NW_m,SP_m,MB_m,CM_TOT,VI_m,DE_m,AB_m,WE_TOT,PA_m,PA_TOT,LS_m,LS_TOT,TI_m,TI_TOT,JP_m,JP_TOT,EX_m,EX_TOT
R0001,ORG01,0,,666,2,31,3,2,1.9,6.6,3,3.0,1,1,2,4,251.0,1256,4,3.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,3.0,2.0,1.0,3.0,3.0,2.0,5.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,1.0,3.6,1.0,2.0,2.5,2.0,2.25,2.25,2.5,2.25,2.4,3.0,2.4,3.2,2.75,2.25,2.0,3.0,2.5,2.4375,3.25,3.75,2.75,3.25,4.0,4.0,2.0,2.0,3.3333333333333335,3.3333333333333335,2.5,2.5,2.75,2.75
R0002,ORG01,0,,1448,1,32,3,2,0.8,4.3,1,0.0,1,3,1,3,147.0,1256,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,1.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,22.8,0.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,3.6,4.0,3.9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.75,3.75,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
R0003,ORG01,0,,1199,2,35,1,1,4.2,7.7,2,0.0,1,1,1,3,203.0,1256,4,5.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,3.0,2.0,,,,,,,,,,0.0,17.0,0.0,4.0,2.75,4.0,3.5,2.75,2.75,3.2916666666666665,3.8,4.2,4.8,2.8,3.9,3.25,4.0,3.75,4.25,3.8125,4.0,3.75,2.5,3.4166666666666665,3.125,3.125,3.4,3.4,2.0,2.0,3.5,3.5,4.25,4.25
R0004,ORG01,0,,806,1,34,1,1,4.7,6.8,1,0.0,1,2,1,1,356.0,1256,4,5.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,5.0,4.0,5.0,5.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,1.0,2.2,1.0,4.25,3.5,3.25,2.25,2.75,3.5,3.25,4.4,3.0,4.2,3.0,3.65,4.0,4.25,3.5,3.5,3.8125,2.5,3.25,2.75,2.8333333333333335,4.25,4.25,2.6,2.6,3.0,3.0,3.5,3.5,2.5,2.5
R0005,ORG01,0,,435,2,28,3,1,4.2,6.7,0,19.0,1,1,1,10,211.0,1256,4,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,0.0,14.3,0.0,3.0,3.5,3.0,3.0,3.75,3.5,3.2916666666666665,3.6,3.6,4.2,3.6,3.75,3.75,4.75,4.0,4.75,4.3125,4.5,4.0,4.0,4.166666666666667,4.125,4.125,2.4,2.4,3.3333333333333335,3.3333333333333335,5.0,5.0,3.0,3.0
R0006,ORG01,0,,876,1,38,3,1,4.9,5.4,1,0.0,3,3,1,1,,1256,4,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,3.0,2.0,3.0,5.0,5.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,3.6,1.0,4.5,2.75,3.75,2.5,3.0,2.75,3.217391304347826,4.2,4.4,3.0,3.4,3.75,2.75,3.5,2.75,3.5,3.125,3.25,3.5,3.75,3.5,2.875,2.875,3.8,3.8000000000000003,3.3333333333333335,3.3333333333333335,3.25,3.25,2.25,2.25
R0007,ORG01,0,,733,1,35,1,2,0.7,2.9,1,0.0,1,1,1,4,273.0,1256,4,5.0,4.0,5.0,5.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,1.0,3.0,3.0,4.0,5.0,3.0,5.0,2.0,1.0,2.0,2.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,,4.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,10.4,1.0,4.75,3.25,4.5,3.5,4.25,4.25,4.083333333333333,3.8,4.4,3.8,3.4,3.85,4.0,3.75,4.0,3.0,3.6875,4.333333333333333,3.5,4.75,4.181818181818182,3.125,3.125,3.8,3.8000000000000003,3.0,3.0,4.25,4.25,2.25,2.25
R0008,ORG01,0,,879,2,34,3,2,4.4,5.2,1,2.0,1,3,1,5,240.0,1256,4,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,1.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,0.0,32.7,0.0,3.0,3.0,2.5,2.5,2.5,3.25,2.7916666666666665,5.0,4.8,4.8,4.0,4.65,4.0,4.0,4.0,2.5,3.625,4.25,4.0,3.75,4.0,3.5,3.5,2.6,2.6,2.3333333333333335,2.3333333333333335,4.25,4.25,3.5,3.5
R0009,ORG02,0,,421,2,27,2,2,3.4,7.4,2,1.0,3,1,1,10,323.0,378,3,3.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,1.0,3.8,1.0,2.25,2.75,2.75,2.5,3.25,2.25,2.625,2.8,2.4,3.6,3.0,2.95,2.25,2.0,3.5,2.5,2.5625,1.75,3.0,2.25,2.3333333333333335,4.125,4.125,3.0,3.0,4.333333333333333,4.333333333333333,3.0,3.0,3.75,3.75
R0010,ORG02,0,,1268,1,33,3,1,4.3,7.0,3,1.0,3,1,2,4,193.0,378,3,4.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,2.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,0.0,20.8,0.0,3.75,3.0,3.0,3.75,3.25,3.25,3.3333333333333335,3.6,3.2,4.4,4.2,3.85,3.5,2.25,4.75,4.5,3.75,4.25,3.75,4.0,4.0,3.75,3.75,3.8,3.8000000000000003,2.3333333333333335,2.3333333333333335,4.25,4.25,3.0,3.0
