rid,sex,age,tenure_yr,SC_TOT,PC_TOT,CM_TOT,JP_TOT,PA_TOT
R0001,2,31,1.9,2.25,2.75,2.4375,2.5,4.0
R0002,1,32,0.8,3.0,3.9,4.0,4.0,3.75
R0003,2,35,4.2,3.2916666666666665,3.9,3.8125,3.5,3.125
R0004,1,34,4.7,3.25,3.65,3.8125,3.5,4.25
R0005,2,28,4.2,3.2916666666666665,3.75,4.3125,5.0,4.125
R0006,1,38,4.9,3.217391304347826,3.75,3.125,3.25,2.875
R0007,1,35,0.7,4.083333333333333,3.85,3.6875,4.25,3.125
R0008,2,34,4.4,2.7916666666666665,4.65,3.625,4.25,3.5
R0009,2,27,3.4,2.625,2.95,2.5625,3.0,4.125
R0010,1,33,4.3,3.3333333333333335,3.85,3.75,4.25,3.75
R0011,1,23,5.0,2.8333333333333335,2.7,2.4375,1.5,2.125
R0012,2,34,5.8,3.0,3.0,3.0,3.0,3.0
R0013,2,32,8.0,3.5,3.6,2.25,3.25,2.25
R0014,2,31,4.8,2.9583333333333335,3.35,3.75,4.5,2.0
R0015,1,36,3.9,3.0,3.55,4.375,4.0,2.5
R0016,1,39,5.9,3.125,3.15,3.75,3.75,3.25
R0017,1,27,5.2,2.9166666666666665,3.95,3.375,2.0,3.0
R0018,1,30,1.6,3.375,3.95,4.0,3.25,3.125
R0019,2,30,5.6,3.4166666666666665,2.6,3.3125,4.5,3.375
R0020,1,24,4.3,3.625,3.15,3.3125,4.25,3.0
R0021,2,26,1.5,3.75,3.5,3.625,4.0,4.125
R0022,2,39,3.4,3.4583333333333335,2.95,2.875,2.75,2.875
R0023,1,38,1.0,3.25,2.8,3.0625,3.0,4.375
R0024,1,29,3.8,3.7083333333333335,3.8,3.125,3.75,3.625
R0025,1,36,4.0,3.25,2.7,2.8125,2.75,2.375
R0026,1,36,2.5,2.7083333333333335,1.8,1.9375,2.25,1.25
R0027,1,37,0.9,4.083333333333333,4.8,3.9375,3.5,3.5
R0028,2,40,1.1,3.2083333333333335,2.4,2.625,2.5,3.5
R0030,1,27,0.5,2.6363636363636362,2.9473684210526314,2.5625,3.25,3.75
R0031,2,26,5.8,2.2083333333333335,2.5789473684210527,2.875,2.0,2.0
R0032,2,34,1.1,3.0,3.0,3.0,3.0,3.0
R0033,2,27,1.7,3.2083333333333335,3.4,3.3125,3.0,3.375
R0034,2,37,0.4,3.0,2.95,3.0625,3.5,3.125
R0035,2,29,3.6,3.0416666666666665,4.4,3.9375,4.25,4.125
R0037,2,26,7.1,2.625,2.85,3.3333333333333335,2.75,4.0
R0038,2,40,2.9,2.5833333333333335,3.8,3.466666666666667,4.5,2.375
R0039,1,33,4.2,2.9166666666666665,3.6,2.75,3.5,2.0
R0040,1,30,1.2,1.875,2.3,2.6875,1.25,2.625
R0041,1,28,1.6,2.8333333333333335,1.8,2.625,2.75,2.142857142857143
R0042,2,35,2.5,3.0,3.0,3.0,3.0,3.0
R0043,1,29,0.3,2.9583333333333335,2.9473684210526314,3.4375,2.75,3.75
R0044,2,39,9.5,3.7083333333333335,3.5789473684210527,2.9375,3.5,3.125
R0045,2,36,1.5,2.5,4.2,3.1875,3.0,3.875
R0046,1,20,1.5,2.2916666666666665,2.65,2.9375,3.0,2.25
R0047,1,38,8.5,3.0,3.0,3.0,3.0,3.0
R0048,2,31,3.9,2.875,2.35,3.8125,2.25,4.285714285714286
R0049,1,26,3.7,3.0,3.0,3.0,3.0,3.0
R0050,1,28,0.5,3.0416666666666665,2.65,3.1875,3.0,3.25
R0051,2,30,4.7,2.8333333333333335,2.6,3.0625,3.0,2.0
R0052,1,32,2.4,2.6666666666666665,2.95,3.625,2.75,3.125
R0053,2,30,7.1,2.8260869565217392,3.1,3.5625,2.0,3.375
R0054,2,24,9.5,3.0,3.0,3.0,3.0,3.0
R0055,1,27,2.9,3.0,1.75,3.125,2.25,3.625
R0056,1,24,1.8,2.4166666666666665,2.9,3.3125,2.0,2.625
R0057,1,30,2.8,2.7916666666666665,2.55,2.8125,4.0,2.5
R0058,2,34,3.3,2.75,2.55,2.625,3.0,2.125
R0059,1,32,4.7,3.0,2.05,2.4375,2.5,2.875
R0060,2,28,2.8,3.375,3.0526315789473686,2.875,3.75,3.625
R0061,1,35,4.8,2.25,2.85,2.0,2.25,1.375
R0062,2,26,2.4,2.5,2.75,2.5,2.0,2.857142857142857
R0063,2,23,1.3,3.1666666666666665,2.85,4.0,2.25,2.125
R0064,2,31,1.2,3.75,2.6842105263157894,3.125,1.25,2.25
R0065,2,33,2.4,3.0,3.0,3.0,3.0,3.0
R0066,2,21,3.8,3.4166666666666665,3.1052631578947367,3.75,4.25,2.75
R0067,1,36,3.9,3.4583333333333335,3.85,4.0625,2.75,3.625
R0068,1,29,0.6,2.7916666666666665,2.45,3.0625,2.0,3.875
R0069,2,26,5.5,2.8333333333333335,3.2,3.8125,2.25,3.5
R0070,1,36,7.4,3.0,3.0,3.0,3.0,3.0
R0071,2,30,2.5,2.9583333333333335,2.8421052631578947,3.0,3.0,3.875
R0072,2,27,2.5,3.0,3.0,3.0,3.0,3.0
R0073,1,40,1.1,3.0,3.0,3.0,3.0,3.0
R0074,1,33,2.8,3.125,3.65,3.8125,4.25,3.375
R0075,2,27,8.2,3.75,3.15,3.625,3.25,4.125
R0077,1,31,1.9,3.0,3.0,3.0,3.0,3.0
R0078,1,30,4.8,3.4583333333333335,3.65,3.625,3.25,2.5
R0080,2,27,4.3,3.2083333333333335,3.0,3.0,3.25,2.75
R0081,2,32,0.7,2.9583333333333335,1.55,2.9375,1.75,2.875
R0082,1,32,6.5,3.0,3.0,3.0,3.0,3.0
R0083,2,35,5.1,3.217391304347826,3.55,3.6875,2.75,4.5
R0084,1,34,5.0,3.0,3.9,4.0,4.0,3.75
R0085,1,31,2.5,2.5833333333333335,2.65,2.9375,3.5,2.125
R0086,1,43,1.3,3.9166666666666665,4.35,4.125,5.0,4.0
R0087,1,26,3.9,3.0416666666666665,3.25,2.625,3.75,3.0
R0088,1,30,0.9,2.5416666666666665,3.8,3.25,2.75,3.0
R0089,1,27,0.8,2.75,3.35,4.125,2.75,2.875
R0090,1,32,2.9,3.0833333333333335,2.8,3.4375,3.25,2.875
R0091,1,36,5.5,2.75,3.1,2.4375,2.25,2.875
R0092,1,23,0.9,3.0833333333333335,2.9,3.375,4.0,4.25
R0093,2,26,3.2,3.0416666666666665,3.4,3.5625,3.5,2.875
R0094,1,32,1.9,3.4583333333333335,2.2,2.375,2.5,2.375
R0095,1,30,6.1,3.0,2.8,3.8125,1.25,3.125
R0096,1,32,5.8,2.7083333333333335,3.35,2.5,3.0,3.25
R0097,2,24,4.1,3.25,2.9,3.375,2.25,3.857142857142857
R0098,1,34,11.0,2.5833333333333335,2.6666666666666665,3.125,2.0,2.25
R0100,2,31,5.2,4.125,3.6315789473684212,3.4375,2.75,3.625
R0101,1,39,2.0,2.7916666666666665,2.05,2.1875,2.75,2.875
R0102,1,23,2.0,2.0833333333333335,2.45,1.875,1.75,2.0
R0103,2,36,1.3,2.6666666666666665,2.8,2.6875,3.25,2.5
R0104,1,21,0.4,3.3333333333333335,4.157894736842105,3.375,3.75,3.875
R0105,2,27,2.1,3.2083333333333335,2.75,3.125,3.0,3.875
R0106,2,36,0.2,2.9583333333333335,2.85,2.875,3.0,2.75
R0107,2,24,6.4,2.875,2.8,4.1875,2.75,3.125
R0108,1,34,3.5,2.5416666666666665,2.65,3.25,3.0,2.5
R0109,2,26,0.3,3.0,3.0526315789473686,2.9375,3.0,3.0
R0110,1,31,3.5,2.9166666666666665,3.75,3.9375,4.25,4.375
R0111,2,24,4.1,3.0,3.0,3.0,3.0,3.0
R0112,2,26,1.4,3.1666666666666665,3.1,4.25,3.5,3.75
R0113,1,24,2.3,2.7083333333333335,2.8,2.8125,3.75,3.625
R0114,2,21,2.6,3.2916666666666665,4.3,3.1875,4.0,4.625
R0115,1,31,1.5,3.375,2.95,3.375,3.25,3.5
R0116,1,26,11.9,2.75,2.7,3.25,3.75,3.375
R0117,2,24,2.7,3.0,3.0,3.0,3.0,3.0
R0118,2,33,3.5,3.125,2.25,2.875,4.0,3.375
R0119,2,29,2.1,2.9583333333333335,3.5,2.5625,3.75,2.75
R0120,1,29,2.6,3.0416666666666665,2.3,3.5,4.75,3.75
R0121,2,25,0.7,2.2916666666666665,3.2,2.6875,2.6666666666666665,3.142857142857143
R0122,2,38,2.5,3.1666666666666665,3.15,3.375,3.25,3.375
R0123,1,39,6.3,3.0,3.8947368421052633,4.0,4.0,3.875
R0124,2,34,6.0,2.4166666666666665,3.95,3.25,3.5,2.125
R0125,2,34,3.8,3.2083333333333335,4.0,3.875,3.25,3.125
R0126,2,32,12.9,3.1666666666666665,3.95,2.875,4.0,3.375
R0127,1,38,4.6,3.3333333333333335,2.736842105263158,3.4375,2.75,3.625
R0128,2,35,5.3,2.375,3.5,3.1875,3.75,3.375
R0129,2,36,1.8,2.2083333333333335,3.1,3.6875,4.5,2.875
R0130,2,30,4.3,3.0,2.85,2.875,3.0,2.75
R0131,2,28,2.3,3.2083333333333335,3.45,3.6875,4.0,3.875
R0132,1,39,5.8,2.7916666666666665,2.8,3.25,4.25,3.25
R0133,2,39,5.7,3.25,3.45,2.625,4.5,3.5
R0134,1,39,2.6,3.0833333333333335,2.45,2.625,1.5,1.625
R0136,1,31,2.1,3.0833333333333335,3.6,3.875,4.5,4.0
R0138,2,38,0.7,3.2916666666666665,2.65,3.1875,3.0,3.625
R0139,1,26,1.7,2.25,2.1578947368421053,2.1875,3.25,2.625
R0141,2,21,1.0,3.0,3.0,3.0,3.0,3.0
R0142,2,32,5.0,2.5833333333333335,1.9,1.875,1.5,2.125
R0143,2,25,4.1,3.0,3.45,3.066666666666667,3.5,3.125
R0144,1,23,6.1,3.125,3.15,3.5,2.0,3.125
R0145,2,35,8.6,2.625,2.9,1.9375,2.25,1.625
R0146,2,29,2.7,3.2083333333333335,2.9473684210526314,3.5625,2.0,2.5
R0147,1,27,2.4,4.083333333333333,3.55,4.25,4.75,3.125
R0148,1,35,3.7,3.5416666666666665,4.15,4.0625,3.5,4.125
R0149,2,28,1.9,3.2916666666666665,3.0526315789473686,3.375,4.75,3.375
R0150,2,40,3.2,3.2083333333333335,3.5,3.2857142857142856,3.75,4.0
R0151,1,30,1.9,3.3333333333333335,3.85,3.0625,2.75,2.75
R0152,2,33,5.0,2.5,3.0,2.625,2.25,1.5
R0153,2,32,1.4,3.1666666666666665,4.05,3.4375,2.0,1.875
R0154,2,25,2.1,3.4166666666666665,3.2,2.9375,3.75,2.625
R0155,1,30,0.6,3.391304347826087,4.0,3.75,4.25,2.625
R0156,1,38,0.2,3.5,4.1,3.375,2.75,3.625
R0157,1,35,6.9,3.9583333333333335,3.4,3.6875,4.0,3.875
R0159,1,27,6.4,3.25,3.55,3.5625,4.75,4.125
R0161,2,32,7.4,2.7916666666666665,2.8,3.0,2.5,2.375
R0162,2,38,7.0,3.0416666666666665,3.65,4.4375,2.5,2.875
R0163,1,31,2.9,3.4583333333333335,3.45,4.0625,3.25,2.375
R0164,1,32,0.5,2.4166666666666665,2.6,2.6875,3.0,3.625
R0165,1,29,1.7,3.0,3.0,3.0,3.0,3.0
R0166,2,36,3.7,3.75,3.2,3.1875,3.0,3.375
R0167,2,39,2.4,3.4166666666666665,3.65,2.625,4.0,3.5714285714285716
R0168,2,26,10.5,3.7916666666666665,4.2,4.25,4.75,4.375
R0169,2,34,4.4,3.25,3.8,3.375,4.0,4.0
R0170,2,32,1.8,3.7916666666666665,4.3,3.5,3.25,1.625
R0171,2,33,3.1,3.375,3.65,3.1875,3.0,1.75
R0172,1,35,2.1,3.0416666666666665,3.15,3.9375,3.25,3.75
R0173,2,35,0.6,3.625,4.3,3.5,3.75,4.375
