rid,org_id,sex,age,edu,marital,tenure_yr,career_yr,n_prev_job,n_try_move,rank,firm_size,emp_type,job_fn,wage_10k,SC_TOT,PC_TOT,WE_TOT,TI_TOT,LS_TOT,left_12m
R0001,ORG01,2,31,3,2,1.9,6.6,3,3.0,1,1,2,4,251.0,2.25,2.75,3.25,3.3333333333333335,2.0,1.0
R0002,ORG01,1,32,3,2,0.8,4.3,1,0.0,1,3,1,3,147.0,3.0,3.9,4.0,4.0,4.0,1.0
R0003,ORG01,2,35,1,1,4.2,7.7,2,0.0,1,1,1,3,203.0,3.2916666666666665,3.9,3.4166666666666665,2.0,3.4,0.0
R0004,ORG01,1,34,1,1,4.7,6.8,1,0.0,1,2,1,1,356.0,3.25,3.65,2.8333333333333335,3.0,2.6,1.0
R0005,ORG01,2,28,3,1,4.2,6.7,0,19.0,1,1,1,10,211.0,3.2916666666666665,3.75,4.166666666666667,3.3333333333333335,2.4,0.0
R0006,ORG01,1,38,3,1,4.9,5.4,1,0.0,3,3,1,1,,3.217391304347826,3.75,3.5,3.3333333333333335,3.8000000000000003,1.0
R0007,ORG01,1,35,1,2,0.7,2.9,1,0.0,1,1,1,4,273.0,4.083333333333333,3.85,4.181818181818182,3.0,3.8000000000000003,0.0
R0008,ORG01,2,34,3,2,4.4,5.2,1,2.0,1,3,1,5,240.0,2.7916666666666665,4.65,4.0,2.3333333333333335,2.6,0.0
R0009,ORG02,2,27,2,2,3.4,7.4,2,1.0,3,1,1,10,323.0,2.625,2.95,2.3333333333333335,4.333333333333333,3.0,1.0
R0010,ORG02,1,33,3,1,4.3,7.0,3,1.0,3,1,2,4,193.0,3.3333333333333335,3.85,4.0,2.3333333333333335,3.8000000000000003,0.0
R0011,ORG02,1,23,4,1,5.0,7.0,1,1.0,6,1,1,3,237.0,2.8333333333333335,2.7,2.75,4.333333333333333,2.4,1.0
R0012,ORG02,2,34,3,1,5.8,9.5,0,0.0,2,3,1,5,336.0,3.0,3.0,3.0,3.0,3.0,0.0
R0013,ORG02,2,32,3,1,8.0,12.3,2,1.0,2,2,1,5,,3.5,3.6,3.0,4.0,4.2,0.0
R0014,ORG02,2,31,1,1,4.8,7.9,2,0.0,2,1,1,7,366.0,2.9583333333333335,3.35,3.9166666666666665,2.3333333333333335,4.6000000000000005,0.0
R0015,ORG02,1,36,3,2,3.9,5.3,4,0.0,1,2,1,10,509.0,3.0,3.55,3.5,4.666666666666667,4.6000000000000005,0.0
R0016,ORG02,1,39,3,1,5.9,8.0,2,2.0,2,1,1,3,320.0,3.125,3.15,3.0833333333333335,3.6666666666666665,2.6,1.0
R0017,ORG02,1,27,3,2,5.2,6.7,1,4.0,2,1,1,6,424.0,2.9166666666666665,3.95,3.1666666666666665,3.0,4.6000000000000005,1.0
R0018,ORG03,1,30,3,1,1.6,3.2,1,1.0,2,2,1,5,279.0,3.375,3.95,3.75,3.3333333333333335,2.4,0.0
R0019,ORG03,2,30,3,1,5.6,5.8,0,0.0,1,3,1,10,233.0,3.4166666666666665,2.6,2.8333333333333335,4.0,2.6,0.0
R0020,ORG03,1,24,3,1,4.3,5.0,0,4.0,2,2,1,5,,3.625,3.15,3.8333333333333335,2.6666666666666665,2.8000000000000003,0.0
R0021,ORG03,2,26,3,1,1.5,4.6,0,1.0,2,3,1,5,,3.75,3.5,4.0,3.0,3.0,0.0
R0022,ORG03,2,39,3,1,3.4,5.4,1,0.0,1,3,1,2,219.0,3.4583333333333335,2.95,3.1666666666666665,2.6666666666666665,3.6,0.0
R0023,ORG03,1,38,3,1,1.0,3.5,1,0.0,1,1,1,9,263.0,3.25,2.8,3.25,3.3333333333333335,2.5,1.0
