rid,org_id,sex,age,edu,tenure_yr,career_yr,n_prev_job,rank,firm_size,emp_type,wage_10k,SC_TOT,WE_TOT,TI_TOT,LS_TOT,time_months,event
R0001,ORG01,2,31,3,1.9,6.6,3,1,1,2,251.0,2.25,3.25,3.3333333333333335,2.0,3.6,1.0
R0002,ORG01,1,32,3,0.8,4.3,1,1,3,1,147.0,3.0,4.0,4.0,4.0,22.8,0.0
R0003,ORG01,2,35,1,4.2,7.7,2,1,1,1,203.0,3.2916666666666665,3.4166666666666665,2.0,3.4,17.0,0.0
R0004,ORG01,1,34,1,4.7,6.8,1,1,2,1,356.0,3.25,2.8333333333333335,3.0,2.6,2.2,1.0
R0005,ORG01,2,28,3,4.2,6.7,0,1,1,1,211.0,3.2916666666666665,4.166666666666667,3.3333333333333335,2.4,14.3,0.0
R0006,ORG01,1,38,3,4.9,5.4,1,3,3,1,,3.217391304347826,3.5,3.3333333333333335,3.8000000000000003,3.6,1.0
R0007,ORG01,1,35,1,0.7,2.9,1,1,1,1,273.0,4.083333333333333,4.181818181818182,3.0,3.8000000000000003,10.4,1.0
R0008,ORG01,2,34,3,4.4,5.2,1,1,3,1,240.0,2.7916666666666665,4.0,2.3333333333333335,2.6,32.7,0.0
R0009,ORG02,2,27,2,3.4,7.4,2,3,1,1,323.0,2.625,2.3333333333333335,4.333333333333333,3.0,3.8,1.0
R0010,ORG02,1,33,3,4.3,7.0,3,3,1,2,193.0,3.3333333333333335,4.0,2.3333333333333335,3.8000000000000003,20.8,0.0
R0011,ORG02,1,23,4,5.0,7.0,1,6,1,1,237.0,2.8333333333333335,2.75,4.333333333333333,2.4,5.6,1.0
R0012,ORG02,2,34,3,5.8,9.5,0,2,3,1,336.0,3.0,3.0,3.0,3.0,13.5,0.0
R0013,ORG02,2,32,3,8.0,12.3,2,2,2,1,,3.5,3.0,4.0,4.2,9.8,0.0
R0014,ORG02,2,31,1,4.8,7.9,2,2,1,1,366.0,2.9583333333333335,3.9166666666666665,2.3333333333333335,4.6000000000000005,30.2,0.0
R0015,ORG02,1,36,3,3.9,5.3,4,1,2,1,509.0,3.0,3.5,4.666666666666667,4.6000000000000005,5.9,1.0
R0016,ORG02,1,39,3,5.9,8.0,2,2,1,1,320.0,3.125,3.0833333333333335,3.6666666666666665,2.6,12.0,0.0
R0017,ORG02,1,27,3,5.2,6.7,1,2,1,1,424.0,2.9166666666666665,3.1666666666666665,3.0,4.6000000000000005,12.4,0.0
R0018,ORG03,1,30,3,1.6,3.2,1,2,2,1,279.0,3.375,3.75,3.3333333333333335,2.4,29.9,0.0
R0019,ORG03,2,30,3,5.6,5.8,0,1,3,1,233.0,3.4166666666666665,2.8333333333333335,4.0,2.6,6.1,1.0
R0020,ORG03,1,24,3,4.3,5.0,0,2,2,1,,3.625,3.8333333333333335,2.6666666666666665,2.8000000000000003,14.4,0.0
R0021,ORG03,2,26,3,1.5,4.6,0,2,3,1,,3.75,4.0,3.0,3.0,13.2,0.0
R0022,ORG03,2,39,3,3.4,5.4,1,1,3,1,219.0,3.4583333333333335,3.1666666666666665,2.6666666666666665,3.6,12.1,0.0
R0023,ORG03,1,38,3,1.0,3.5,1,1,1,1,263.0,3.25,3.25,3.3333333333333335,2.5,12.2,0.0
R0024,ORG03,1,29,2,3.8,4.9,1,4,1,1,268.0,3.7083333333333335,3.0833333333333335,3.3333333333333335,3.4,17.3,1.0
R0025,ORG03,1,36,3,4.0,5.0,2,1,3,1,274.0,3.25,3.25,4.333333333333333,3.6,8.6,1.0
R0026,ORG03,1,36,3,2.5,3.4,1,2,2,1,324.0,2.7083333333333335,3.0833333333333335,5.0,2.4,4.0,1.0
R0027,ORG03,1,37,3,0.9,3.9,1,2,3,1,220.0,4.083333333333333,4.25,1.6666666666666667,4.3999999999999995,26.3,0.0
R0028,ORG03,2,40,2,1.1,3.1,1,1,3,1,164.0,3.2083333333333335,3.1666666666666665,3.0,4.3999999999999995,6.0,1.0
R0030,ORG04,1,27,2,0.5,2.8,0,1,2,1,241.0,2.6363636363636362,2.5833333333333335,3.0,3.1999999999999997,11.8,1.0
R0031,ORG04,2,26,3,5.8,13.9,5,1,1,1,182.0,2.2083333333333335,2.25,5.0,3.4,0.4,1.0
R0032,ORG04,2,34,3,1.1,2.9,2,1,1,1,235.0,3.0,3.0,3.0,3.0,35.7,0.0
R0033,ORG04,2,27,1,1.7,9.4,0,1,1,1,284.0,3.2083333333333335,2.75,3.6666666666666665,2.4,9.4,0.0
R0034,ORG04,2,37,3,0.4,0.7,4,3,1,1,301.0,3.0,2.9166666666666665,2.6666666666666665,2.6,10.4,1.0
R0035,ORG04,2,29,1,3.6,7.4,3,1,3,1,219.0,3.0416666666666665,4.416666666666667,3.3333333333333335,2.4,12.2,0.0
R0037,ORG04,2,26,3,7.1,8.9,0,2,1,1,,2.625,2.9166666666666665,3.3333333333333335,3.1999999999999997,36.0,0.0
R0038,ORG04,2,40,3,2.9,4.9,1,1,1,1,144.0,2.5833333333333335,3.9166666666666665,2.3333333333333335,3.4,27.4,0.0
R0039,ORG04,1,33,2,4.2,6.9,0,1,1,1,259.0,2.9166666666666665,3.6666666666666665,4.0,3.6,14.5,0.0
R0040,ORG04,1,30,5,1.2,4.4,4,2,1,1,245.0,1.875,3.25,4.0,2.0,7.7,1.0
R0041,ORG04,1,28,3,1.6,3.8,1,2,3,1,262.0,2.8333333333333335,2.1666666666666665,3.6666666666666665,3.4,1.1,1.0
R0042,ORG04,2,35,4,2.5,10.1,1,4,1,1,233.0,3.0,3.0,3.0,3.0,10.2,0.0
R0043,ORG04,1,29,4,0.3,4.2,1,1,1,1,370.0,2.9583333333333335,2.5454545454545454,3.3333333333333335,2.6,28.6,1.0
R0044,ORG04,2,39,3,9.5,12.8,1,3,1,1,,3.7083333333333335,4.25,4.0,1.8,35.1,0.0
R0045,ORG05,2,36,3,1.5,4.7,3,1,1,1,195.0,2.5,3.0,4.333333333333333,2.6,6.6,1.0
R0046,ORG05,1,20,3,1.5,4.7,3,1,2,1,139.0,2.2916666666666665,3.75,5.0,4.0,6.6,1.0
R0047,ORG05,1,38,2,8.5,14.2,3,1,1,1,170.0,3.0,3.0,3.0,3.0,1.5,1.0
R0048,ORG05,2,31,2,3.9,4.6,2,2,2,2,,2.875,3.3636363636363638,3.3333333333333335,2.8000000000000003,11.2,0.0
R0049,ORG05,1,26,3,3.7,5.1,2,4,3,1,,3.0,3.0,3.0,3.0,9.3,1.0
R0050,ORG05,1,28,3,0.5,1.4,1,1,3,1,233.0,3.0416666666666665,2.1818181818181817,3.0,2.8000000000000003,13.7,1.0
R0051,ORG05,2,30,3,4.7,9.4,1,1,1,1,132.0,2.8333333333333335,3.0,4.666666666666667,3.1999999999999997,2.8,1.0
R0052,ORG05,1,32,3,2.4,4.5,2,2,2,1,294.0,2.6666666666666665,2.6666666666666665,4.333333333333333,2.8000000000000003,0.8,1.0
R0053,ORG05,2,30,2,7.1,12.6,0,1,1,1,225.0,2.8260869565217392,3.0833333333333335,3.3333333333333335,3.1999999999999997,1.3,1.0
R0054,ORG05,2,24,3,9.5,12.2,2,2,1,1,220.0,3.0,3.0,3.0,3.0,30.0,0.0
R0055,ORG05,1,27,2,2.9,3.9,0,1,1,1,255.0,3.0,1.75,4.0,1.8,9.4,1.0
R0056,ORG05,1,24,3,1.8,4.7,2,2,1,1,260.0,2.4166666666666665,2.8333333333333335,4.666666666666667,3.0,4.8,1.0
R0057,ORG05,1,30,3,2.8,6.7,1,1,1,1,266.0,2.7916666666666665,2.3333333333333335,3.6666666666666665,2.1999999999999997,3.1,1.0
R0058,ORG05,2,34,3,3.3,4.9,1,2,1,1,257.0,2.75,2.6666666666666665,4.0,3.0,7.4,1.0
R0059,ORG06,1,32,2,4.7,5.6,2,1,1,1,273.0,3.0,2.6666666666666665,3.6666666666666665,3.1999999999999997,12.9,0.0
R0060,ORG06,2,28,3,2.8,3.8,0,2,1,1,229.0,3.375,2.3333333333333335,2.6666666666666665,2.0,5.8,1.0
R0061,ORG06,1,35,3,4.8,7.1,0,3,1,1,274.0,2.25,3.090909090909091,5.0,1.2,3.3,1.0
R0062,ORG06,2,26,3,2.4,6.5,1,2,1,1,272.0,2.5,2.4166666666666665,4.0,2.0,13.8,0.0
R0063,ORG06,2,23,3,1.3,7.9,0,2,1,1,200.0,3.1666666666666665,2.5,3.3333333333333335,2.8000000000000003,26.7,0.0
R0064,ORG06,2,31,1,1.2,3.4,0,1,2,1,279.0,3.75,3.1666666666666665,5.0,4.0,1.8,1.0
R0065,ORG06,2,33,2,2.4,5.1,1,3,1,1,160.0,3.0,3.0,3.0,3.0,15.5,1.0
R0066,ORG06,2,21,4,3.8,10.7,1,2,3,1,211.0,3.4166666666666665,3.3333333333333335,4.333333333333333,2.8000000000000003,10.0,0.0
R0067,ORG06,1,36,2,3.9,4.7,1,3,1,1,270.0,3.4583333333333335,3.5833333333333335,3.6666666666666665,2.4,31.8,0.0
R0068,ORG07,1,29,3,0.6,2.5,1,2,1,1,387.0,2.7916666666666665,2.1666666666666665,3.0,2.4,3.2,1.0
R0069,ORG07,2,26,3,5.5,7.1,4,1,1,1,154.0,2.8333333333333335,2.6666666666666665,4.0,4.2,13.4,1.0
R0070,ORG07,1,36,3,7.4,8.2,0,3,1,1,239.0,3.0,3.0,3.0,3.0,2.7,1.0
R0071,ORG07,2,30,3,2.5,5.0,3,2,1,1,275.0,2.9583333333333335,3.0833333333333335,3.0,2.6,21.9,0.0
R0072,ORG07,2,27,3,2.5,4.0,2,2,1,1,282.0,3.0,3.0,3.0,3.0,2.3,1.0
R0073,ORG07,1,40,3,1.1,2.3,0,1,1,1,233.0,3.0,3.0,3.0,3.0,25.3,0.0
R0074,ORG07,1,33,3,2.8,4.3,3,2,1,1,343.0,3.125,4.333333333333333,2.3333333333333335,3.6,31.9,0.0
R0075,ORG07,2,27,3,8.2,12.9,0,2,1,2,220.0,3.75,4.75,4.0,3.6,23.8,0.0
R0077,ORG08,1,31,4,1.9,3.1,2,1,3,1,279.0,3.0,3.0,3.0,3.0,3.8,1.0
R0078,ORG08,1,30,3,4.8,6.1,4,3,3,1,160.0,3.4583333333333335,3.5833333333333335,2.3333333333333335,2.6,26.8,0.0
R0080,ORG08,2,27,5,4.3,5.1,0,1,2,1,246.0,3.2083333333333335,1.8333333333333333,3.6666666666666665,2.4,13.7,1.0
R0081,ORG08,2,32,3,0.7,1.4,2,1,1,1,208.0,2.9583333333333335,1.4166666666666667,2.3333333333333335,1.5999999999999999,1.2,1.0
R0082,ORG09,1,32,3,6.5,10.2,4,1,1,1,246.0,3.0,3.0,3.0,3.0,4.6,1.0
R0083,ORG09,2,35,1,5.1,6.5,1,1,1,1,286.0,3.217391304347826,3.1666666666666665,3.0,4.0,22.5,0.0
R0084,ORG09,1,34,3,5.0,11.8,1,2,1,1,219.0,3.0,4.0,4.0,4.0,1.6,1.0
R0085,ORG09,1,31,3,2.5,3.0,1,2,2,1,258.0,2.5833333333333335,3.75,4.333333333333333,4.3999999999999995,10.0,0.0
R0086,ORG09,1,43,3,1.3,4.9,3,1,1,1,109.0,3.9166666666666665,4.083333333333333,1.6666666666666667,3.6,18.2,1.0
R0087,ORG09,1,26,3,3.9,6.4,1,2,2,1,448.0,3.0416666666666665,3.0833333333333335,4.0,3.4,0.1,1.0
R0088,ORG09,1,30,3,0.9,3.5,1,2,2,2,236.0,2.5416666666666665,4.083333333333333,3.0,3.8000000000000003,27.4,0.0
R0089,ORG09,1,27,2,0.8,6.6,1,4,1,1,139.0,2.75,2.3333333333333335,3.0,4.6000000000000005,14.0,1.0
R0090,ORG10,1,32,3,2.9,5.0,1,1,1,1,455.0,3.0833333333333335,3.0,3.3333333333333335,2.1999999999999997,29.6,0.0
R0091,ORG10,1,36,2,5.5,11.6,1,1,1,1,173.0,2.75,2.25,4.0,3.1999999999999997,18.8,0.0
R0092,ORG10,1,23,3,0.9,1.4,3,2,1,1,206.0,3.0833333333333335,2.8333333333333335,2.6666666666666665,2.0,4.5,1.0
