rid,org_id,sex,age,tenure_yr,career_yr,rank,SC_TOT,PC_TOT,WE_TOT,LS_TOT,TI_TOT,JP_TOT,org_size,org_industry,org_n,LS_org_mean,LS_org_sd
R0001,ORG01,2,31,1.9,6.6,1,2.25,2.75,3.25,2.0,3.3333333333333335,2.5,1256,4,8,3.075,0.7629828681843762
R0002,ORG01,1,32,0.8,4.3,1,3.0,3.9,4.0,4.0,4.0,4.0,1256,4,8,3.075,0.7629828681843762
R0003,ORG01,2,35,4.2,7.7,1,3.2916666666666665,3.9,3.4166666666666665,3.4,2.0,3.5,1256,4,8,3.075,0.7629828681843762
R0004,ORG01,1,34,4.7,6.8,1,3.25,3.65,2.8333333333333335,2.6,3.0,3.5,1256,4,8,3.075,0.7629828681843762
R0005,ORG01,2,28,4.2,6.7,1,3.2916666666666665,3.75,4.166666666666667,2.4,3.3333333333333335,5.0,1256,4,8,3.075,0.7629828681843762
R0006,ORG01,1,38,4.9,5.4,3,3.217391304347826,3.75,3.5,3.8000000000000003,3.3333333333333335,3.25,1256,4,8,3.075,0.7629828681843762
R0007,ORG01,1,35,0.7,2.9,1,4.083333333333333,3.85,4.181818181818182,3.8000000000000003,3.0,4.25,1256,4,8,3.075,0.7629828681843762
R0008,ORG01,2,34,4.4,5.2,1,2.7916666666666665,4.65,4.0,2.6,2.3333333333333335,4.25,1256,4,8,3.075,0.7629828681843762
R0009,ORG02,2,27,3.4,7.4,3,2.625,2.95,2.3333333333333335,3.0,4.333333333333333,3.0,378,3,9,3.644444444444445,0.9043106644167025
R0010,ORG02,1,33,4.3,7.0,3,3.3333333333333335,3.85,4.0,3.8000000000000003,2.3333333333333335,4.25,378,3,9,3.644444444444445,0.9043106644167025
R0011,ORG02,1,23,5.0,7.0,6,2.8333333333333335,2.7,2.75,2.4,4.333333333333333,1.5,378,3,9,3.644444444444445,0.9043106644167025
R0012,ORG02,2,34,5.8,9.5,2,3.0,3.0,3.0,3.0,3.0,3.0,378,3,9,3.644444444444445,0.9043106644167025
R0013,ORG02,2,32,8.0,12.3,2,3.5,3.6,3.0,4.2,4.0,3.25,378,3,9,3.644444444444445,0.9043106644167025
R0014,ORG02,2,31,4.8,7.9,2,2.9583333333333335,3.35,3.9166666666666665,4.6000000000000005,2.3333333333333335,4.5,378,3,9,3.644444444444445,0.9043106644167025
R0015,ORG02,1,36,3.9,5.3,1,3.0,3.55,3.5,4.6000000000000005,4.666666666666667,4.0,378,3,9,3.644444444444445,0.9043106644167025
R0016,ORG02,1,39,5.9,8.0,2,3.125,3.15,3.0833333333333335,2.6,3.6666666666666665,3.75,378,3,9,3.644444444444445,0.9043106644167025
R0017,ORG02,1,27,5.2,6.7,2,2.9166666666666665,3.95,3.1666666666666665,4.6000000000000005,3.0,2.0,378,3,9,3.644444444444445,0.9043106644167025
R0018,ORG03,1,30,1.6,3.2,2,3.375,3.95,3.75,2.4,3.3333333333333335,3.25,2689,1,11,3.190909090909091,0.7462634192489207
R0019,ORG03,2,30,5.6,5.8,1,3.4166666666666665,2.6,2.8333333333333335,2.6,4.0,4.5,2689,1,11,3.190909090909091,0.7462634192489207
R0020,ORG03,1,24,4.3,5.0,2,3.625,3.15,3.8333333333333335,2.8000000000000003,2.6666666666666665,4.25,2689,1,11,3.190909090909091,0.7462634192489207
R0021,ORG03,2,26,1.5,4.6,2,3.75,3.5,4.0,3.0,3.0,4.0,2689,1,11,3.190909090909091,0.7462634192489207
R0022,ORG03,2,39,3.4,5.4,1,3.4583333333333335,2.95,3.1666666666666665,3.6,2.6666666666666665,2.75,2689,1,11,3.190909090909091,0.7462634192489207
R0023,ORG03,1,38,1.0,3.5,1,3.25,2.8,3.25,2.5,3.3333333333333335,3.0,2689,1,11,3.190909090909091,0.7462634192489207
R0024,ORG03,1,29,3.8,4.9,4,3.7083333333333335,3.8,3.0833333333333335,3.4,3.3333333333333335,3.75,2689,1,11,3.190909090909091,0.7462634192489207
R0025,ORG03,1,36,4.0,5.0,1,3.25,2.7,3.25,3.6,4.333333333333333,2.75,2689,1,11,3.190909090909091,0.7462634192489207
R0026,ORG03,1,36,2.5,3.4,2,2.7083333333333335,1.8,3.0833333333333335,2.4,5.0,2.25,2689,1,11,3.190909090909091,0.7462634192489207
R0027,ORG03,1,37,0.9,3.9,2,4.083333333333333,4.8,4.25,4.3999999999999995,1.6666666666666667,3.5,2689,1,11,3.190909090909091,0.7462634192489207
R0028,ORG03,2,40,1.1,3.1,1,3.2083333333333335,2.4,3.1666666666666665,4.3999999999999995,3.0,2.5,2689,1,11,3.190909090909091,0.7462634192489207
R0030,ORG04,1,27,0.5,2.8,1,2.6363636363636362,2.9473684210526314,2.5833333333333335,3.1999999999999997,3.0,3.25,964,3,14,2.857142857142857,0.5625686771261945
R0031,ORG04,2,26,5.8,13.9,1,2.2083333333333335,2.5789473684210527,2.25,3.4,5.0,2.0,964,3,14,2.857142857142857,0.5625686771261945
R0032,ORG04,2,34,1.1,2.9,1,3.0,3.0,3.0,3.0,3.0,3.0,964,3,14,2.857142857142857,0.5625686771261945
R0033,ORG04,2,27,1.7,9.4,1,3.2083333333333335,3.4,2.75,2.4,3.6666666666666665,3.0,964,3,14,2.857142857142857,0.5625686771261945
R0034,ORG04,2,37,0.4,0.7,3,3.0,2.95,2.9166666666666665,2.6,2.6666666666666665,3.5,964,3,14,2.857142857142857,0.5625686771261945
R0035,ORG04,2,29,3.6,7.4,1,3.0416666666666665,4.4,4.416666666666667,2.4,3.3333333333333335,4.25,964,3,14,2.857142857142857,0.5625686771261945
R0037,ORG04,2,26,7.1,8.9,2,2.625,2.85,2.9166666666666665,3.1999999999999997,3.3333333333333335,2.75,964,3,14,2.857142857142857,0.5625686771261945
R0038,ORG04,2,40,2.9,4.9,1,2.5833333333333335,3.8,3.9166666666666665,3.4,2.3333333333333335,4.5,964,3,14,2.857142857142857,0.5625686771261945
R0039,ORG04,1,33,4.2,6.9,1,2.9166666666666665,3.6,3.6666666666666665,3.6,4.0,3.5,964,3,14,2.857142857142857,0.5625686771261945
R0040,ORG04,1,30,1.2,4.4,2,1.875,2.3,3.25,2.0,4.0,1.25,964,3,14,2.857142857142857,0.5625686771261945
R0041,ORG04,1,28,1.6,3.8,2,2.8333333333333335,1.8,2.1666666666666665,3.4,3.6666666666666665,2.75,964,3,14,2.857142857142857,0.5625686771261945
R0042,ORG04,2,35,2.5,10.1,4,3.0,3.0,3.0,3.0,3.0,3.0,964,3,14,2.857142857142857,0.5625686771261945
R0043,ORG04,1,29,0.3,4.2,1,2.9583333333333335,2.9473684210526314,2.5454545454545454,2.6,3.3333333333333335,2.75,964,3,14,2.857142857142857,0.5625686771261945
R0044,ORG04,2,39,9.5,12.8,3,3.7083333333333335,3.5789473684210527,4.25,1.8,4.0,3.5,964,3,14,2.857142857142857,0.5625686771261945
R0045,ORG05,2,36,1.5,4.7,1,2.5,4.2,3.0,2.6,4.333333333333333,3.0,313,3,14,2.8857142857142857,0.5005491489848429
R0046,ORG05,1,20,1.5,4.7,1,2.2916666666666665,2.65,3.75,4.0,5.0,3.0,313,3,14,2.8857142857142857,0.5005491489848429
R0047,ORG05,1,38,8.5,14.2,1,3.0,3.0,3.0,3.0,3.0,3.0,313,3,14,2.8857142857142857,0.5005491489848429
R0048,ORG05,2,31,3.9,4.6,2,2.875,2.35,3.3636363636363638,2.8000000000000003,3.3333333333333335,2.25,313,3,14,2.8857142857142857,0.5005491489848429
R0049,ORG05,1,26,3.7,5.1,4,3.0,3.0,3.0,3.0,3.0,3.0,313,3,14,2.8857142857142857,0.5005491489848429
R0050,ORG05,1,28,0.5,1.4,1,3.0416666666666665,2.65,2.1818181818181817,2.8000000000000003,3.0,3.0,313,3,14,2.8857142857142857,0.5005491489848429
R0051,ORG05,2,30,4.7,9.4,1,2.8333333333333335,2.6,3.0,3.1999999999999997,4.666666666666667,3.0,313,3,14,2.8857142857142857,0.5005491489848429
R0052,ORG05,1,32,2.4,4.5,2,2.6666666666666665,2.95,2.6666666666666665,2.8000000000000003,4.333333333333333,2.75,313,3,14,2.8857142857142857,0.5005491489848429
R0053,ORG05,2,30,7.1,12.6,1,2.8260869565217392,3.1,3.0833333333333335,3.1999999999999997,3.3333333333333335,2.0,313,3,14,2.8857142857142857,0.5005491489848429
R0054,ORG05,2,24,9.5,12.2,2,3.0,3.0,3.0,3.0,3.0,3.0,313,3,14,2.8857142857142857,0.5005491489848429
R0055,ORG05,1,27,2.9,3.9,1,3.0,1.75,1.75,1.8,4.0,2.25,313,3,14,2.8857142857142857,0.5005491489848429
R0056,ORG05,1,24,1.8,4.7,2,2.4166666666666665,2.9,2.8333333333333335,3.0,4.666666666666667,2.0,313,3,14,2.8857142857142857,0.5005491489848429
R0057,ORG05,1,30,2.8,6.7,1,2.7916666666666665,2.55,2.3333333333333335,2.1999999999999997,3.6666666666666665,4.0,313,3,14,2.8857142857142857,0.5005491489848429
R0058,ORG05,2,34,3.3,4.9,2,2.75,2.55,2.6666666666666665,3.0,4.0,3.0,313,3,14,2.8857142857142857,0.5005491489848429
R0059,ORG06,1,32,4.7,5.6,1,3.0,2.05,2.6666666666666665,3.1999999999999997,3.6666666666666665,2.5,2936,1,9,2.5999999999999996,0.812403840463596
R0060,ORG06,2,28,2.8,3.8,2,3.375,3.0526315789473686,2.3333333333333335,2.0,2.6666666666666665,3.75,2936,1,9,2.5999999999999996,0.812403840463596
R0061,ORG06,1,35,4.8,7.1,3,2.25,2.85,3.090909090909091,1.2,5.0,2.25,2936,1,9,2.5999999999999996,0.812403840463596
R0062,ORG06,2,26,2.4,6.5,2,2.5,2.75,2.4166666666666665,2.0,4.0,2.0,2936,1,9,2.5999999999999996,0.812403840463596
R0063,ORG06,2,23,1.3,7.9,2,3.1666666666666665,2.85,2.5,2.8000000000000003,3.3333333333333335,2.25,2936,1,9,2.5999999999999996,0.812403840463596
R0064,ORG06,2,31,1.2,3.4,1,3.75,2.6842105263157894,3.1666666666666665,4.0,5.0,1.25,2936,1,9,2.5999999999999996,0.812403840463596
R0065,ORG06,2,33,2.4,5.1,3,3.0,3.0,3.0,3.0,3.0,3.0,2936,1,9,2.5999999999999996,0.812403840463596
R0066,ORG06,2,21,3.8,10.7,2,3.4166666666666665,3.1052631578947367,3.3333333333333335,2.8000000000000003,4.333333333333333,4.25,2936,1,9,2.5999999999999996,0.812403840463596
R0067,ORG06,1,36,3.9,4.7,3,3.4583333333333335,3.85,3.5833333333333335,2.4,3.6666666666666665,2.75,2936,1,9,2.5999999999999996,0.812403840463596
R0068,ORG07,1,29,0.6,2.5,2,2.7916666666666665,2.45,2.1666666666666665,2.4,3.0,2.0,2913,1,8,3.1750000000000003,0.5897941529526577
R0069,ORG07,2,26,5.5,7.1,1,2.8333333333333335,3.2,2.6666666666666665,4.2,4.0,2.25,2913,1,8,3.1750000000000003,0.5897941529526577
