org_id,org_n,LS_org_mean,LS_org_sd
ORG01,8,3.075,0.7629828681843762
ORG02,9,3.644444444444445,0.9043106644167025
ORG03,11,3.190909090909091,0.7462634192489207
ORG04,14,2.857142857142857,0.5625686771261945
ORG05,14,2.8857142857142857,0.5005491489848429
ORG06,9,2.5999999999999996,0.812403840463596
ORG07,8,3.1750000000000003,0.5897941529526577
ORG08,4,2.4,0.5887840577551897
ORG09,8,3.85,0.5209880722517277
ORG10,9,2.755555555555555,0.563717817509592
ORG11,15,3.1333333333333333,0.4514526816949078
ORG12,10,3.22,0.6562519841239846
ORG13,8,2.4,0.8815570640309437
ORG14,10,2.7,0.7071067811865478
ORG15,12,3.9333333333333336,0.47736651315188394
ORG16,12,3.733333333333333,0.8917126864363404
ORG17,6,1.8999999999999997,0.6899275324264136
ORG18,11,3.3636363636363638,0.5783990443849771
ORG19,6,2.4499999999999997,0.46368092477478534
ORG20,9,2.888888888888889,0.7423685817106696
ORG21,9,3.488888888888889,0.7078920193865101
ORG22,18,3.644444444444444,0.6232950601650424
ORG23,8,3.225,0.6798108980759704
ORG24,8,3.325,0.9558093055476226
ORG25,9,2.5777777777777775,0.8569973421454962
ORG26,8,3.45,0.7615773105863908
ORG27,11,2.809090909090909,0.8055489376252014
ORG28,5,3.8400000000000007,0.49799598391954936
ORG29,12,2.4916666666666667,0.6841827684223424
ORG30,9,2.488888888888889,0.5925462944877058
ORG31,10,3.575,0.5996526772502007
ORG32,11,3.0681818181818183,0.8961787565192356
ORG33,13,3.3115384615384613,0.8972536444975315
ORG34,5,2.8,0.4
ORG35,8,3.3,0.5126959555693246
ORG36,11,3.1818181818181817,0.9228414618104045
ORG37,8,3.75,0.4375255094603872
ORG38,9,3.2555555555555555,0.4824704942043377
ORG39,11,3.6363636363636362,0.37755192297941575
ORG40,9,4.038888888888889,0.5754225500544023
ORG41,10,3.4799999999999995,0.9437513796899408
ORG42,10,3.02,0.6069962474714687
ORG43,5,3.72,0.8074651695274541
ORG44,8,2.825,0.7887603293414659
ORG45,8,3.125,0.8345229603962803
ORG46,7,2.8857142857142857,1.038313651116674
