rid,sex,age,tenure_yr,PA_PA_01,PA_PA_02,PA_PA_03,PA_PA_04,PA_PA_05,PA_PA_06R,PA_PA_07,PA_PA_08,SC_SK_01,SC_SK_02,SC_SK_03,SC_SK_04,SC_SJ_01R,SC_SJ_02R,SC_SJ_03R,SC_SJ_04R,SC_CH_01,SC_CH_02,SC_CH_03,SC_CH_04,SC_IS_01R,SC_IS_02R,SC_IS_03R,SC_IS_04R,SC_MI_01,SC_MI_02,SC_MI_03,SC_MI_04,SC_OI_01R,SC_OI_02R,SC_OI_03R,SC_OI_04R,PC_EF_01,PC_EF_02,PC_EF_03,PC_EF_04,PC_EF_05,PC_HO_01,PC_HO_02,PC_HO_03,PC_HO_04,PC_HO_05,PC_RE_01,PC_RE_02,PC_RE_03,PC_RE_04,PC_RE_05R,PC_OP_01,PC_OP_02,PC_OP_03,PC_OP_04,PC_OP_05,CM_CE_01,CM_CE_02,CM_CE_03,CM_CE_04,CM_NW_01,CM_NW_02,CM_NW_03,CM_NW_04,CM_SP_01,CM_SP_02,CM_SP_03,CM_SP_04,CM_MB_01,CM_MB_02,CM_MB_03,CM_MB_04,JP_JP_01,JP_JP_02,JP_JP_03,JP_JP_04
R0001,2,31,1.9,4.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,3.0,2.0,1.0,3.0,3.0,2.0,5.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0
R0002,1,32,0.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
R0003,2,35,4.2,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0
R0004,1,34,4.7,5.0,4.0,5.0,5.0,3.0,1.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0
R0005,2,28,4.2,4.0,3.0,5.0,4.0,5.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
R0006,1,38,4.9,4.0,1.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0
R0007,1,35,0.7,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,4.0,5.0,5.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,1.0,3.0,3.0,4.0,5.0,3.0,5.0,2.0,1.0,2.0,2.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0,4.0,4.0
R0008,2,34,4.4,5.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,1.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,2.0,4.0,4.0,5.0,4.0
R0009,2,27,3.4,4.0,3.0,4.0,4.0,4.0,1.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0
R0010,1,33,4.3,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,2.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0
