rid,org_id,sex,age,tenure_yr,LS_TOT,org_size,W1_SC_p1,W1_SC_p2,W1_SC_p3,W1_WE_p1,W1_WE_p2,W1_WE_p3,W1_TI_p1,W1_TI_p2,W1_TI_p3,W2_SC_p1,W2_SC_p2,W2_SC_p3,W2_WE_p1,W2_WE_p2,W2_WE_p3,W2_TI_p1,W2_TI_p2,W2_TI_p3,W3_SC_p1,W3_SC_p2,W3_SC_p3,W3_WE_p1,W3_WE_p2,W3_WE_p3,W3_TI_p1,W3_TI_p2,W3_TI_p3
R0001,ORG01,2,31,1.9,2.0,1256,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,
R0002,ORG01,1,32,0.8,4.0,1256,4.0,5.0,5.0,4.0,5.0,4.0,2.0,1.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,1.0,2.0,1.0
R0003,ORG01,2,35,4.2,3.4,1256,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,3.0,2.0,,,,,,,,,
R0004,ORG01,1,34,4.7,2.6,1256,4.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0
R0005,ORG01,2,28,4.2,2.4,1256,3.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0
R0006,ORG01,1,38,4.9,3.8000000000000003,1256,4.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0
R0007,ORG01,1,35,0.7,3.8000000000000003,1256,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0
R0008,ORG01,2,34,4.4,2.6,1256,4.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0
R0009,ORG02,2,27,3.4,3.0,378,1.0,2.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,
R0010,ORG02,1,33,4.3,3.8000000000000003,378,3.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
R0011,ORG02,1,23,5.0,2.4,378,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,
R0012,ORG02,2,34,5.8,3.0,378,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,
R0013,ORG02,2,32,8.0,4.2,378,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,5.0,2.0,2.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0
R0014,ORG02,2,31,4.8,4.6000000000000005,378,3.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0,1.0,3.0,5.0,5.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
R0015,ORG02,1,36,3.9,4.6000000000000005,378,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0
R0016,ORG02,1,39,5.9,2.6,378,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0
R0017,ORG02,1,27,5.2,4.6000000000000005,378,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0
R0018,ORG03,1,30,1.6,2.4,2689,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0
R0019,ORG03,2,30,5.6,2.6,2689,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
R0020,ORG03,1,24,4.3,2.8000000000000003,2689,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0
R0021,ORG03,2,26,1.5,3.0,2689,3.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,5.0,5.0,4.0,2.0,4.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,1.0,2.0
R0022,ORG03,2,39,3.4,3.6,2689,5.0,5.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
R0023,ORG03,1,38,1.0,2.5,2689,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,
R0024,ORG03,1,29,3.8,3.4,2689,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0
R0025,ORG03,1,36,4.0,3.6,2689,3.0,2.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0
R0026,ORG03,1,36,2.5,2.4,2689,2.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,5.0,1.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0
R0027,ORG03,1,37,0.9,4.3999999999999995,2689,4.0,5.0,5.0,4.0,4.0,5.0,1.0,1.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,,,,,,,,,
R0028,ORG03,2,40,1.1,4.3999999999999995,2689,1.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0
R0030,ORG04,1,27,0.5,3.1999999999999997,964,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0
R0031,ORG04,2,26,5.8,3.4,964,2.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,4.0,2.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0
R0032,ORG04,2,34,1.1,3.0,964,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0
R0033,ORG04,2,27,1.7,2.4,964,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0
R0034,ORG04,2,37,0.4,2.6,964,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0
R0035,ORG04,2,29,3.6,2.4,964,4.0,3.0,5.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0
R0037,ORG04,2,26,7.1,3.1999999999999997,964,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0
