rid,org_id,sex,age,tenure_yr,rank,job_fn,PA_TOT,SC_TOT,WE_TOT,JP_TOT,LS_TOT
R0218,ORG22,2,42,2.4,2,5,2.375,3.375,3.5,4.25,3.4
R0219,ORG22,1,30,5.5,3,10,4.375,3.25,3.417,3.25,4.0
R0220,ORG22,2,27,1.0,1,9,3.0,3.0,3.0,3.0,3.0
R0221,ORG22,1,31,5.3,2,9,2.833,3.208,3.417,3.0,4.4
R0222,ORG22,2,35,1.9,2,10,2.625,3.208,3.75,2.75,3.8
R0224,ORG22,1,33,3.6,1,4,3.625,3.542,2.25,2.5,3.4
R0225,ORG22,2,32,6.1,1,5,3.25,2.542,3.083,3.25,2.4
R0226,ORG22,2,24,4.1,2,1,4.125,3.208,3.583,4.5,4.2
R0227,ORG22,1,31,3.5,1,6,2.625,2.917,3.583,2.25,3.4
R0228,ORG22,1,33,5.2,2,4,3.0,2.522,3.25,4.25,3.6
R0229,ORG22,1,37,0.4,1,6,3.25,3.792,4.417,4.0,4.8
R0230,ORG22,1,29,1.0,2,6,2.625,3.958,1.833,2.0,3.2
R0231,ORG22,2,32,3.5,1,5,3.625,3.083,3.583,3.5,3.2
R0232,ORG22,2,30,2.7,3,1,3.0,3.0,3.0,3.0,3.0
R0233,ORG22,2,32,0.4,2,4,2.375,2.417,4.167,3.25,3.4
R0234,ORG22,1,29,4.0,1,4,2.625,1.833,3.083,2.75,3.6
R0236,ORG22,1,28,0.2,3,5,1.875,2.667,2.333,3.25,4.6
R0237,ORG22,1,28,1.7,1,10,4.875,3.25,4.75,4.75,4.2
R0100,ORG11,2,31,5.2,3,4,3.625,4.125,3.75,2.75,4.2
R0101,ORG11,1,39,2.0,3,9,2.875,2.792,3.25,2.75,3.0
R0102,ORG11,1,23,2.0,1,10,2.0,2.083,2.917,1.75,2.6
R0103,ORG11,2,36,1.3,1,10,2.5,2.667,2.583,3.25,3.4
R0104,ORG11,1,21,0.4,3,5,3.875,3.333,3.083,3.75,2.8
R0105,ORG11,2,27,2.1,3,7,3.875,3.208,3.083,3.0,3.2
R0106,ORG11,2,36,0.2,1,7,2.75,2.958,2.917,3.0,3.0
R0107,ORG11,2,24,6.4,1,2,3.125,2.875,3.333,2.75,3.8
R0108,ORG11,1,34,3.5,1,4,2.5,2.542,3.333,3.0,2.6
R0109,ORG11,2,26,0.3,1,9,3.0,3.0,3.25,3.0,3.0
R0110,ORG11,1,31,3.5,3,9,4.375,2.917,3.0,4.25,3.0
R0111,ORG11,2,24,4.1,1,4,3.0,3.0,3.0,3.0,3.0
R0112,ORG11,2,26,1.4,4,10,3.75,3.167,3.583,3.5,3.4
R0113,ORG11,1,24,2.3,3,3,3.625,2.708,3.167,3.75,2.6
R0114,ORG11,2,21,2.6,1,10,4.625,3.292,3.833,4.0,3.4
R0030,ORG04,1,27,0.5,1,9,3.75,2.636,2.583,3.25,3.2
R0031,ORG04,2,26,5.8,1,10,2.0,2.208,2.25,2.0,3.4
R0032,ORG04,2,34,1.1,1,9,3.0,3.0,3.0,3.0,3.0
R0033,ORG04,2,27,1.7,1,1,3.375,3.208,2.75,3.0,2.4
R0034,ORG04,2,37,0.4,3,2,3.125,3.0,2.917,3.5,2.6
R0035,ORG04,2,29,3.6,1,4,4.125,3.042,4.417,4.25,2.4
R0037,ORG04,2,26,7.1,2,4,4.0,2.625,2.917,2.75,3.2
R0038,ORG04,2,40,2.9,1,5,2.375,2.583,3.917,4.5,3.4
R0039,ORG04,1,33,4.2,1,10,2.0,2.917,3.667,3.5,3.6
R0040,ORG04,1,30,1.2,2,4,2.625,1.875,3.25,1.25,2.0
R0041,ORG04,1,28,1.6,2,7,2.143,2.833,2.167,2.75,3.4
R0042,ORG04,2,35,2.5,4,10,3.0,3.0,3.0,3.0,3.0
R0043,ORG04,1,29,0.3,1,10,3.75,2.958,2.545,2.75,2.6
R0044,ORG04,2,39,9.5,3,3,3.125,3.708,4.25,3.5,1.8
R0045,ORG05,2,36,1.5,1,6,3.875,2.5,3.0,3.0,2.6
R0046,ORG05,1,20,1.5,1,9,2.25,2.292,3.75,3.0,4.0
R0047,ORG05,1,38,8.5,1,5,3.0,3.0,3.0,3.0,3.0
R0048,ORG05,2,31,3.9,2,7,4.286,2.875,3.364,2.25,2.8
R0049,ORG05,1,26,3.7,4,9,3.0,3.0,3.0,3.0,3.0
R0050,ORG05,1,28,0.5,1,2,3.25,3.042,2.182,3.0,2.8
R0051,ORG05,2,30,4.7,1,5,2.0,2.833,3.0,3.0,3.2
R0052,ORG05,1,32,2.4,2,6,3.125,2.667,2.667,2.75,2.8
R0053,ORG05,2,30,7.1,1,6,3.375,2.826,3.083,2.0,3.2
R0054,ORG05,2,24,9.5,2,3,3.0,3.0,3.0,3.0,3.0
R0055,ORG05,1,27,2.9,1,7,3.625,3.0,1.75,2.25,1.8
R0056,ORG05,1,24,1.8,2,10,2.625,2.417,2.833,2.0,3.0
R0057,ORG05,1,30,2.8,1,7,2.5,2.792,2.333,4.0,2.2
R0058,ORG05,2,34,3.3,2,4,2.125,2.75,2.667,3.0,3.0
R0331,ORG33,2,38,2.3,1,5,3.125,3.458,4.333,3.5,4.4
R0332,ORG33,1,36,5.2,1,10,3.0,3.0,3.0,3.0,3.0
R0333,ORG33,2,23,2.6,2,2,3.75,3.667,4.0,4.25,3.0
R0334,ORG33,2,30,2.1,1,10,3.125,3.125,3.5,3.5,2.6
R0335,ORG33,2,30,8.3,3,7,3.0,3.0,3.0,3.0,3.0
R0336,ORG33,2,31,4.4,1,6,3.75,4.417,3.5,3.5,4.2
R0337,ORG33,2,32,2.4,1,4,3.0,3.0,3.0,3.0,3.0
R0338,ORG33,1,34,3.3,1,7,2.5,2.625,3.917,4.25,3.0
R0339,ORG33,1,29,0.1,2,2,4.375,2.833,4.417,4.75,4.25
R0340,ORG33,2,42,5.7,1,10,3.0,2.667,2.667,2.5,3.4
R0341,ORG33,2,26,0.5,2,10,4.125,3.208,3.083,4.0,5.0
R0342,ORG33,1,30,7.4,1,10,2.75,3.25,2.333,3.5,2.2
R0343,ORG33,2,34,9.0,2,7,1.5,2.0,3.0,3.0,2.0
R0159,ORG16,1,27,6.4,2,1,4.125,3.25,3.833,4.75,4.0
R0161,ORG16,2,32,7.4,2,1,2.375,2.792,2.667,2.5,2.8
R0162,ORG16,2,38,7.0,3,10,2.875,3.042,3.583,2.5,4.4
R0163,ORG16,1,31,2.9,1,3,2.375,3.458,2.667,3.25,2.6
R0164,ORG16,1,32,0.5,3,5,3.625,2.417,3.167,3.0,3.4
R0165,ORG16,1,29,1.7,2,6,3.0,3.0,3.0,3.0,3.0
R0166,ORG16,2,36,3.7,3,3,3.375,3.75,3.333,3.0,3.4
R0167,ORG16,2,39,2.4,1,1,3.571,3.417,3.417,4.0,5.0
R0168,ORG16,2,26,10.5,2,4,4.375,3.792,4.583,4.75,5.0
R0169,ORG16,2,34,4.4,1,10,4.0,3.25,3.167,4.0,2.6
R0170,ORG16,2,32,1.8,4,10,1.625,3.792,3.5,3.25,4.0
R0171,ORG16,2,33,3.1,1,7,1.75,3.375,2.583,3.0,4.6
