org_id,from_rid,to_rid,weight
ORG22,R0218,R0222,2
ORG22,R0218,R0228,3
ORG22,R0218,R0229,2
ORG22,R0219,R0222,2
ORG22,R0219,R0226,1
ORG22,R0219,R0234,2
ORG22,R0219,R0237,3
ORG22,R0220,R0221,3
ORG22,R0220,R0225,1
ORG22,R0220,R0229,3
ORG22,R0220,R0231,3
ORG22,R0220,R0234,2
ORG22,R0221,R0219,1
ORG22,R0221,R0220,1
ORG22,R0221,R0226,2
ORG22,R0221,R0229,3
ORG22,R0222,R0219,3
ORG22,R0222,R0221,2
ORG22,R0222,R0227,2
ORG22,R0222,R0228,2
ORG22,R0222,R0230,2
ORG22,R0222,R0237,1
ORG22,R0224,R0219,3
ORG22,R0224,R0222,2
ORG22,R0224,R0228,2
ORG22,R0224,R0233,3
ORG22,R0224,R0237,2
ORG22,R0225,R0221,2
ORG22,R0225,R0224,3
ORG22,R0225,R0226,1
ORG22,R0225,R0237,2
ORG22,R0226,R0218,3
ORG22,R0226,R0219,2
ORG22,R0226,R0221,2
ORG22,R0226,R0225,1
ORG22,R0226,R0230,2
ORG22,R0226,R0231,3
ORG22,R0226,R0232,2
ORG22,R0226,R0237,3
ORG22,R0227,R0219,2
ORG22,R0227,R0221,1
ORG22,R0227,R0226,1
ORG22,R0227,R0228,3
ORG22,R0228,R0224,1
ORG22,R0228,R0226,1
ORG22,R0228,R0227,1
ORG22,R0228,R0231,1
ORG22,R0228,R0232,2
ORG22,R0229,R0218,1
ORG22,R0229,R0226,2
ORG22,R0229,R0228,1
ORG22,R0229,R0234,3
ORG22,R0230,R0226,3
ORG22,R0230,R0227,2
ORG22,R0230,R0228,1
ORG22,R0230,R0229,1
ORG22,R0230,R0237,3
ORG22,R0231,R0220,3
ORG22,R0231,R0221,3
ORG22,R0231,R0224,2
ORG22,R0231,R0225,1
ORG22,R0231,R0229,2
ORG22,R0231,R0234,1
ORG22,R0231,R0237,2
ORG22,R0232,R0221,3
ORG22,R0232,R0224,1
ORG22,R0232,R0226,3
ORG22,R0232,R0228,3
ORG22,R0232,R0233,3
ORG22,R0233,R0218,1
ORG22,R0233,R0222,3
ORG22,R0233,R0229,1
ORG22,R0234,R0222,3
ORG22,R0234,R0226,1
ORG22,R0234,R0227,3
ORG22,R0234,R0229,2
ORG22,R0236,R0218,1
ORG22,R0236,R0222,1
ORG22,R0236,R0229,3
ORG22,R0236,R0231,3
ORG22,R0237,R0218,3
ORG22,R0237,R0225,3
ORG22,R0237,R0226,1
ORG22,R0237,R0233,2
ORG11,R0100,R0105,1
ORG11,R0100,R0106,3
ORG11,R0100,R0111,1
ORG11,R0101,R0102,2
ORG11,R0101,R0105,3
ORG11,R0101,R0106,3
ORG11,R0101,R0107,2
ORG11,R0102,R0101,2
ORG11,R0102,R0104,1
ORG11,R0102,R0105,1
ORG11,R0102,R0107,2
ORG11,R0102,R0110,2
ORG11,R0103,R0102,1
ORG11,R0103,R0108,1
ORG11,R0103,R0109,1
ORG11,R0103,R0110,3
ORG11,R0103,R0114,1
ORG11,R0104,R0105,1
ORG11,R0104,R0107,2
ORG11,R0104,R0109,1
ORG11,R0104,R0110,1
ORG11,R0104,R0112,1
ORG11,R0104,R0114,3
ORG11,R0105,R0103,2
ORG11,R0105,R0106,2
ORG11,R0105,R0109,3
ORG11,R0105,R0111,3
ORG11,R0105,R0112,1
ORG11,R0106,R0100,3
ORG11,R0106,R0102,3
ORG11,R0106,R0103,2
ORG11,R0107,R0104,1
ORG11,R0107,R0106,2
ORG11,R0107,R0110,2
ORG11,R0107,R0111,1
ORG11,R0108,R0106,3
ORG11,R0108,R0107,3
ORG11,R0108,R0110,2
ORG11,R0108,R0113,2
ORG11,R0109,R0105,3
ORG11,R0109,R0107,2
ORG11,R0109,R0110,3
ORG11,R0109,R0113,3
ORG11,R0109,R0114,3
ORG11,R0110,R0104,2
ORG11,R0110,R0111,3
ORG11,R0110,R0113,1
ORG11,R0110,R0114,3
ORG11,R0111,R0103,2
ORG11,R0111,R0105,1
ORG11,R0111,R0110,2
ORG11,R0111,R0112,3
ORG11,R0112,R0103,1
ORG11,R0112,R0110,1
ORG11,R0112,R0114,1
ORG11,R0113,R0103,3
ORG11,R0113,R0105,1
ORG11,R0113,R0108,1
ORG11,R0113,R0109,2
ORG11,R0113,R0112,3
ORG11,R0114,R0102,2
ORG11,R0114,R0104,2
ORG11,R0114,R0111,1
ORG04,R0030,R0033,1
ORG04,R0030,R0035,3
ORG04,R0030,R0037,1
ORG04,R0030,R0038,3
ORG04,R0030,R0039,2
ORG04,R0031,R0030,2
ORG04,R0031,R0038,3
ORG04,R0032,R0033,1
ORG04,R0032,R0034,1
ORG04,R0032,R0035,2
ORG04,R0033,R0030,2
ORG04,R0033,R0042,2
ORG04,R0033,R0044,1
ORG04,R0034,R0044,2
ORG04,R0035,R0030,1
ORG04,R0035,R0033,3
ORG04,R0035,R0037,1
ORG04,R0035,R0038,2
ORG04,R0035,R0039,3
ORG04,R0035,R0044,3
ORG04,R0037,R0030,2
ORG04,R0037,R0035,1
ORG04,R0037,R0038,1
ORG04,R0037,R0044,2
ORG04,R0038,R0037,3
ORG04,R0038,R0040,1
ORG04,R0039,R0030,2
ORG04,R0039,R0038,1
ORG04,R0039,R0043,1
ORG04,R0040,R0034,2
ORG04,R0040,R0035,2
ORG04,R0040,R0038,3
ORG04,R0040,R0039,2
ORG04,R0042,R0038,3
ORG04,R0042,R0039,1
ORG04,R0043,R0033,3
ORG04,R0043,R0035,3
ORG04,R0043,R0038,1
ORG04,R0043,R0042,3
ORG04,R0043,R0044,1
ORG04,R0044,R0037,1
ORG04,R0044,R0040,3
ORG04,R0044,R0043,1
ORG05,R0045,R0050,3
ORG05,R0045,R0051,2
ORG05,R0045,R0054,3
ORG05,R0045,R0058,2
ORG05,R0046,R0048,2
ORG05,R0046,R0049,2
ORG05,R0046,R0058,1
ORG05,R0047,R0052,2
ORG05,R0047,R0057,1
ORG05,R0048,R0046,1
ORG05,R0048,R0047,1
ORG05,R0048,R0052,1
ORG05,R0048,R0053,1
ORG05,R0048,R0054,2
ORG05,R0048,R0057,3
ORG05,R0049,R0046,3
ORG05,R0049,R0047,1
ORG05,R0049,R0048,3
ORG05,R0049,R0051,3
ORG05,R0050,R0052,3
ORG05,R0050,R0057,2
ORG05,R0050,R0058,2
ORG05,R0051,R0047,2
ORG05,R0051,R0054,1
ORG05,R0051,R0057,1
ORG05,R0052,R0051,2
ORG05,R0052,R0058,3
ORG05,R0053,R0045,1
ORG05,R0053,R0048,2
ORG05,R0053,R0056,2
ORG05,R0053,R0057,2
ORG05,R0053,R0058,1
ORG05,R0054,R0045,1
ORG05,R0054,R0046,2
ORG05,R0054,R0047,2
ORG05,R0054,R0048,3
ORG05,R0054,R0049,2
ORG05,R0054,R0052,2
ORG05,R0054,R0053,3
ORG05,R0054,R0056,1
ORG05,R0054,R0057,3
ORG05,R0055,R0047,2
ORG05,R0055,R0056,1
ORG05,R0056,R0047,3
ORG05,R0056,R0048,1
ORG05,R0056,R0055,1
ORG05,R0057,R0051,1
ORG05,R0057,R0054,1
ORG05,R0057,R0055,3
ORG05,R0058,R0045,3
ORG05,R0058,R0054,3
ORG05,R0058,R0057,3
ORG33,R0331,R0334,1
ORG33,R0331,R0339,2
ORG33,R0331,R0341,3
ORG33,R0331,R0343,3
ORG33,R0332,R0334,3
ORG33,R0332,R0339,3
ORG33,R0332,R0342,2
ORG33,R0333,R0331,2
ORG33,R0333,R0339,3
ORG33,R0334,R0333,2
ORG33,R0334,R0341,3
ORG33,R0335,R0332,3
ORG33,R0335,R0338,1
ORG33,R0335,R0340,3
ORG33,R0335,R0341,1
ORG33,R0336,R0331,3
ORG33,R0336,R0333,2
ORG33,R0336,R0335,1
ORG33,R0336,R0337,3
ORG33,R0336,R0339,2
ORG33,R0337,R0333,3
ORG33,R0337,R0338,2
ORG33,R0337,R0340,1
ORG33,R0338,R0332,2
ORG33,R0338,R0336,3
ORG33,R0338,R0337,1
ORG33,R0339,R0332,2
ORG33,R0339,R0333,2
ORG33,R0339,R0341,1
ORG33,R0340,R0332,2
ORG33,R0340,R0337,1
ORG33,R0340,R0341,3
ORG33,R0341,R0331,3
ORG33,R0341,R0332,3
ORG33,R0341,R0335,1
ORG33,R0341,R0338,2
ORG33,R0342,R0332,2
ORG33,R0342,R0333,3
ORG33,R0342,R0336,3
ORG33,R0342,R0339,3
ORG33,R0342,R0340,3
ORG33,R0343,R0335,1
ORG33,R0343,R0336,3
ORG16,R0159,R0163,1
ORG16,R0159,R0166,1
ORG16,R0159,R0167,1
ORG16,R0159,R0170,2
ORG16,R0159,R0171,1
ORG16,R0161,R0159,3
ORG16,R0161,R0162,3
ORG16,R0161,R0164,1
ORG16,R0161,R0165,2
ORG16,R0161,R0168,1
ORG16,R0162,R0164,1
ORG16,R0163,R0162,1
ORG16,R0163,R0164,3
ORG16,R0164,R0159,2
ORG16,R0164,R0162,3
ORG16,R0164,R0163,2
ORG16,R0164,R0165,2
ORG16,R0164,R0168,3
ORG16,R0165,R0161,3
ORG16,R0165,R0162,3
ORG16,R0165,R0167,1
ORG16,R0165,R0168,3
ORG16,R0165,R0171,1
ORG16,R0166,R0159,2
ORG16,R0166,R0165,3
ORG16,R0166,R0170,1
ORG16,R0167,R0159,3
ORG16,R0167,R0165,2
ORG16,R0167,R0168,3
ORG16,R0167,R0170,2
ORG16,R0168,R0159,3
ORG16,R0168,R0162,2
ORG16,R0168,R0165,1
ORG16,R0168,R0166,2
ORG16,R0168,R0167,1
ORG16,R0168,R0169,3
ORG16,R0168,R0171,3
ORG16,R0169,R0159,1
ORG16,R0169,R0164,3
ORG16,R0169,R0168,2
ORG16,R0170,R0159,1
ORG16,R0170,R0167,1
ORG16,R0171,R0167,3
ORG16,R0171,R0169,1
