,R0218,R0219,R0220,R0221,R0222,R0224,R0225,R0226,R0227,R0228,R0229,R0230,R0231,R0232,R0233,R0234,R0236,R0237
R0218,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
R0219,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
R0220,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
R0221,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
R0222,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
R0224,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
R0225,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
R0226,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
R0227,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
R0228,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0
R0229,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
R0230,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
R0231,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1
R0232,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
R0233,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
R0234,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
R0236,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
R0237,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
